john - Total Points: 523818 | Events Completed: 5
s - Total Points: 2715 | Events Completed: 5
d - Total Points: 598 | Events Completed: 5
a - Total Points: 601 | Events Completed: 5
f - Total Points: 292 | Events Completed: 5
wf - Total Points: 51841 | Events Completed: 5
a - Total Points: 59 | Events Completed: 5
fa - Total Points: 52 | Events Completed: 5
awf - Total Points: 2758 | Events Completed: 5
faf - Total Points: 638 | Events Completed: 5
fas - Total Points: 4127 | Events Completed: 5
fa - Total Points: 1088 | Events Completed: 5
g - Total Points: 571 | Events Completed: 5
g - Total Points: 5309 | Events Completed: 5
g - Total Points: 588 | Events Completed: 5
g - Total Points: 579 | Events Completed: 5
dg - Total Points: 61 | Events Completed: 5
ad - Total Points: 24126 | Events Completed: 5
gsd - Total Points: 1124 | Events Completed: 5
gae - Total Points: 1059 | Events Completed: 5
